日期,标题,中文标题,原文链接,标签,类型,双语链接
2019/10/10,Where we do and don’t want automation,我们需要和不希望自动化的地方,https://sive.rs/autom,Articles,,
2019/10/9,Human nature to focus on the one bad thing,人倾向关注坏事情,https://sive.rs/negz,Articles,,
2019/10/8,Back and forth between super-hot and super-cold,冷热交替,https://sive.rs/sauna,Articles,,
2019/10/7,"Err on the side of action, to test theories",实践出真知,https://sive.rs/erra,Articles,,
2019/10/6,Blowing off work to play,翘班去玩,https://sive.rs/hooky,Articles,,
2019/10/5,What happens when we ignore plans?,如果我们无视计划会怎样？,https://sive.rs/ldn,Articles,故事,
2019/10/4,Tour -isms,各种「主义」,https://sive.rs/isms,Articles,,
2019/10/3,Meta-considerate,真正的体贴,https://sive.rs/metac,Articles,,
2019/10/2,"Daydreaming the downside, for once",为幻想买单,https://sive.rs/ddown,Articles,,
2019/10/1,Where to find the hours to make it happen,与其空想，不如实践,https://sive.rs/uncomf,Articles,,
2019/9/30,Your heroes show which way you’re facing,让榜样为你指引方向,https://sive.rs/hf,Articles,,
2019/9/29,Don’t quote. Make it yours and say it yourself.,不要引用，变成你的话说出来。,https://sive.rs/dq,Articles,反常,https://readit.site/a/r5VxD
2019/9/28,Have a private email account,拥有一个私人邮件地址,https://sive.rs/pe,Articles,实操,
2019/9/27,Future posthumous autobiography,未来遗作,https://sive.rs/abio,Articles,实操,https://readit.site/a/1z3sO
2019/9/27,Cross the world four times,四次穿越世界,https://sive.rs/4,Articles,,https://readit.site/a/iFlZo
2019/9/26,What I did belies why,透过现象看本质,https://sive.rs/ww,Articles,,
2019/9/25,Would you make your art if you were the last person on earth?,假如你是地球上最后一个人，你还会继续创作吗？,https://sive.rs/tp3,Articles,,
2019/9/24,Travel without social praise,不为称赞旅行,https://sive.rs/tp2,Articles,,
2019/9/23,Travel without a phone,不带手机旅行,https://sive.rs/tp1,Articles,,
2019/9/22,initialize,开播客啦,https://sive.rs/pinit,Articles,,
2019/7/31,My old clothes don’t fit,不合身的旧衣服,https://sive.rs/clothes,Articles,,
2019/7/1,Doors and windows and what’s real,门窗和什么是真实,https://sive.rs/dw,Articles,,https://readit.site/a/7f1Gl
2019/3/8,I’ve moved from New Zealand to Oxford England,我从新西兰搬到了英国牛津,https://sive.rs/ox1,Articles,,
2019/1/28,Benefits of a daily diary and topic journals,写日记的好处,https://sive.rs/dj,Articles,实操,
2018/12/5,Subtract,专注做减法,https://sive.rs/subtract,Hell Yeah or No,,
2018/11/18,The art of selfishness,自私的艺术,https://sive.rs/aos,Articles,人物,
2018/8/6,"You don’t need confidence, just contribution.",不需要自信，只要贡献。,https://sive.rs/contrib,Hell Yeah or No,,
2018/6/7,Unlearning,空杯,https://sive.rs/unlearning,Hell Yeah or No,,
2018/6/3,If you’re not feeling “hell yeah!” then say no,如果你不觉得 「哇哦！」就说不,https://sive.rs/hyn,Hell Yeah or No,反常,
2018/6/1,About this book,关于《Hell Yeah or No》,https://sive.rs/hy1,Hell Yeah or No,,
2018/4/20,OpenBSD : why and how,为什么是 OpenBSD,https://sive.rs/openbsd,Tech blog,,
2018/3/31,Moving for good,不断移动,https://sive.rs/mfg,Hell Yeah or No,,
2018/3/21,Why I’m not on Facebook,我为什么不用 Facebook,https://sive.rs/facebook,Articles,,
2018/3/18,Detailed dreams blind you to new means.,盯着细节会让你忽略目的。,https://sive.rs/details,Your Music and People,,
2018/3/7,Include everyone in your success.,让每个人都能参与你的成功。,https://sive.rs/inclev,Your Music and People,反常,
2018/3/6,My writing process,我的写作流程,https://sive.rs/7,Articles,实操,
2018/3/5,Keep in touch.,保持联系。,https://sive.rs/kit,Your Music and People,,
2018/2/28,Be an extreme character.,成为反派角色。,https://sive.rs/evers,Your Music and People,,
2018/2/25,Get specific!,说具体点！,https://sive.rs/get-specific,Your Music and People,,
2018/2/23,What it means to be resourceful,两种不同的思维方式,https://sive.rs/res,Your Music and People,,
2018/2/18,Rock stars have a boss?,摇滚明星也有老板？,https://sive.rs/noboss,Your Music and People,,
2018/2/17,Never wait.,不要等待。,https://sive.rs/neverwait,Your Music and People,,
2018/2/16,"The higher the price, the more they value it.",价格越高，他们越重视。,https://sive.rs/morepay,Your Music and People,,
2018/2/15,Creative communication,俏皮话,https://sive.rs/reach,Your Music and People,反常,
2018/2/15,Considerate communication,沟通的细节,https://sive.rs/ccom,Your Music and People,,
2018/2/14,Get personal.,交朋友，而不是仅是做生意。,https://sive.rs/gpers,Your Music and People,,
2018/2/13,Pedestals prevent friendships.,自卑阻碍友谊。,https://sive.rs/pedestal,Your Music and People,故事,
2018/2/12,"Use the internet, not just companies.",要有自己的网站，别依赖大公司。,https://sive.rs/netskill,Articles,,
2018/2/11,Move to the big city.,搬到大城市。,https://sive.rs/city,Your Music and People,,
2018/2/9,Why you need a database,为什么你需要人际关系数据库,https://sive.rs/dbt,Your Music and People,实操,
2018/2/5,Shed your money taboos.,摆脱金钱禁忌。,https://sive.rs/mn1,Your Music and People,,
2018/1/23,Pricing philosophy,不仅仅是为了钱,https://sive.rs/pp,Your Music and People,故事,
2018/1/22,Art doesn’t end at the edge of the canvas.,艺术不止于画布边缘。,https://sive.rs/ext,Your Music and People,,
2018/1/16,It’s hard to get off stage.,很难下台。,https://sive.rs/stage,Your Music and People,,
2018/1/15,“Marketing” just means being considerate.,营销就是考虑周到。,https://sive.rs/cons,Your Music and People,,
2018/1/14,Repeatedly follow-up to show you care.,反复跟进以示关心。,https://sive.rs/3in,Your Music and People,反常,https://readit.site/a/QeMcY
2017/12/11,Unlikely places and untangled goals,我们用假想的目标当借口,https://sive.rs/unun,Hell Yeah or No,,
2017/7/3,What are the odds of that?,这种概率有多大？,https://sive.rs/odds,Hell Yeah or No,故事,
2017/6/26,Parenting : Who is it really for?,育儿：到底为了谁？,https://sive.rs/pa,Hell Yeah or No,故事,https://readit.site/a/C8kFI
2017/6/21,"To hone your writing, hire a translator.",请一位翻译，帮你磨炼写作技巧。,https://sive.rs/tra,Articles,,
2017/6/16,Ego is the Enemy,自我是敌人,https://sive.rs/ego,Articles,,
2017/6/16,"Actions, not words, reveal our real values",行胜于言,https://sive.rs/arv,Hell Yeah or No,,
2017/3/13,"Think like a bronze medalist, not silver",铜牌心态,https://sive.rs/bronze,Hell Yeah or No,,
2017/3/10,"Art is useless, and so am I",不必「有用」,https://sive.rs/useless,Hell Yeah or No,,
2016/12/30,Quitting something you love,放弃自己喜欢的事情,https://sive.rs/quit,Hell Yeah or No,,
2016/12/27,Solitary socialite,孤独的社交达人,https://sive.rs/soso,Hell Yeah or No,,
2016/12/22,Frequently Asked Questions,FAQ,https://sive.rs/faq,Articles,,
2016/12/19,How to do what you love and make good money,如何做自己喜欢的事并赚钱,https://sive.rs/balance,Hell Yeah or No,,
2016/12/5,Tilting my mirror (motivation is delicate),调整后视镜（微妙的动机）,https://sive.rs/tilt,Hell Yeah or No,故事,
2016/9/5,Why are you doing?,为什么要这么做？,https://sive.rs/why,Hell Yeah or No,,
2016/8/26,I’m a very slow thinker,我是慢思考型人,https://sive.rs/slow,Hell Yeah or No,,https://readit.site/a/wwOrs
2016/8/4,"Keep earning your title, or it expires",头衔会过期,https://sive.rs/expire,Hell Yeah or No,反常,
2016/8/2,When you’re extremely unmotivated,当你极度缺乏动力时,https://sive.rs/unmo,Hell Yeah or No,,
2016/7/27,Disconnect,断网,https://sive.rs/dc,Hell Yeah or No,,
2016/7/25,Don’t add your two cents,不发表意见,https://sive.rs/2c,Anything You Want,,
2016/4/27,Possible futures,可能的未来,https://sive.rs/futures,Hell Yeah or No,,
2016/4/21,Singing the counter-melody,唱反调,https://sive.rs/counter,Hell Yeah or No,,
2016/4/18,How to stop being rich and happy,如何停止富有和快乐,https://sive.rs/d1x,Articles,,
2016/4/18,How to be useful to others,如何对他人有用,https://sive.rs/d1u,Articles,,https://readit.site/a/0hC3w
2016/4/18,How to thrive in an unknowable future,如何在不确定性中成长,https://sive.rs/d1t,Articles,,
2016/4/18,What to do when you get successful,成功后该怎么做,https://sive.rs/d1s,Articles,,
2016/4/18,How to get rich,如何致富,https://sive.rs/d1r,Articles,实操,https://readit.site/a/kYUkH
2016/4/18,How to like people,如何喜欢别人,https://sive.rs/d1p,Articles,,
2016/4/18,Do this. Directives — part 1,就这么做。第一部分,https://sive.rs/d1,Articles,实操,
2016/4/13,Don’t start a business until people are asking you to,在人们要求你创业之前，不要创业,https://sive.rs/asking,Hell Yeah or No,反常,
2016/3/27,Interviews at sive.rs/i,我的采访合集,https://sive.rs/interviews,Articles,,
2016/3/17,Why I don’t promote,为什么我不推广,https://sive.rs/nopr,Articles,,
2016/3/3,"Happy, Smart, and Useful",快乐，聪明，有用,https://sive.rs/hsu,Hell Yeah or No,反常,https://readit.site/a/vQRub
2016/2/28,Assume men and women are the same,男人女人都一样,https://sive.rs/mw,Hell Yeah or No,,
2016/2/25,Beware of advice,小心建议,https://sive.rs/advice,Hell Yeah or No,,
2016/2/23,Overcompensate to compensate,用过度补偿,https://sive.rs/compensate,Hell Yeah or No,反常,
2016/2/18,How to take a compliment,如何接受赞美,https://sive.rs/thx,Articles,实操,
2016/2/16,Why I don’t want stuff,为什么别给我寄东西,https://sive.rs/gifts,Articles,,
2016/2/14,Should you learn programming? Yes.,你应该学习编程吗？是的。,https://sive.rs/prog,Tech blog,,
2016/1/27,Switch strategies,转换策略,https://sive.rs/switch,Hell Yeah or No,实操,https://readit.site/a/ldgGT
2015/11/20,nownownow.com,nownownow.com,https://sive.rs/now3,Articles,,
2015/10/21,The /now page movement,NOW 运动,https://sive.rs/nowff,Articles,,https://readit.site/a/ndpRf
2015/10/2,Relax for the same result,轻松点，结果差不多,https://sive.rs/relax,Hell Yeah or No,,
2015/9/23,Saying no to everything else,对其他一切说不,https://sive.rs/no2,Hell Yeah or No,,
2015/8/29,“Just tell me what to do”: compressing knowledge into directives,「告诉我该怎么做」：将知识压缩成指令,https://sive.rs/2do,Articles,,
2015/5/4,Simplify: move code into database functions,简化：将代码移入数据库函数,https://sive.rs/pg,Tech blog,,
2015/2/1,Getting out of a bad state of mind,如何摆脱糟糕的状态,https://sive.rs/bad,Hell Yeah or No,实操,
2014/10/6,How to change or build your career,如何改变或建立你的事业,https://sive.rs/career,Articles,实操,
2014/9/21,Fixed mindset vs Growth mindset,固定思维 vs 成长思维,https://sive.rs/mindset,Articles,,
2014/9/9,I love being wrong,我喜欢犯错,https://sive.rs/lw,Hell Yeah or No,,
2014/7/4,You can afford to be generous,明智的经营之道,https://sive.rs/afford,Anything You Want,,
2014/7/3,Lose every fight,顾客是对的,https://sive.rs/cs3,Anything You Want,反常,
2011/7/1,Ten years of experience in one hour,一小时十年经验,https://sive.rs/ayw1,Anything You Want,,
2014/7/1,Customer service is everything,客户服务就是一切,https://sive.rs/cs1,Anything You Want,,
2014/6/29,The philosophy of great customer service,人工客服的优势,https://sive.rs/cs,Articles,反常,
2014/5/18,Loving what I used to hate,爱我曾经讨厌的东西,https://sive.rs/hate,Hell Yeah or No,,
2014/5/5,The Meaning of Life,生命的意义,https://sive.rs/ml,Articles,,
2014/3/30,Change careers like Tarzan,像泰山一样转行,https://sive.rs/tarzan,Articles,比喻,
2014/3/19,What if you didn’t need money or attention?,如果你不需要钱或关注呢？,https://sive.rs/full,Hell Yeah or No,,
2014/2/6,How will this game end?,游戏会如何收场？,https://sive.rs/game,Hell Yeah or No,,
2014/2/2,Imitate. We are imperfect mirrors.,模仿。但你仍然可以提供独特价值。,https://sive.rs/mirror,Hell Yeah or No,反常,
2014/1/21,Understanding Vietnam,理解越南,https://sive.rs/vn14,Articles,,
2014/1/21,Understanding Singapore,理解新加坡,https://sive.rs/sg14,Articles,,
2014/1/21,Understanding Indonesia,理解印度尼西亚,https://sive.rs/id14,Articles,,
2014/1/19,Understanding Japan,理解日本,https://sive.rs/jp14,Articles,,
2014/1/16,Same word. Different places? Different meanings.,同一个词，也有不同的意思。,https://sive.rs/quality,Articles,,
2014/1/12,Wood Egg 2014 books are on sale now,WoodEgg 2014 年版书籍销售中,https://sive.rs/we14,Articles,,
2013/12/24,Jac Holzman,雅克·霍尔兹曼,https://sive.rs/jac,Articles,人物,https://readit.site/a/a6UfK
2013/12/20,Why am I here?,我为什么在这里？,https://sive.rs/here,Articles,,https://readit.site/a/LsC12
2013/12/12,Why my code and ideas are public,为什么要公开我的代码和想法,https://sive.rs/ws,Articles,,
2013/12/9,"OK Milt, I’ll start writing again",米尔特，我又开始写作了。,https://sive.rs/milt,Hell Yeah or No,故事,
2013/6/15,Fragile Plan vs Robust Plan,脆弱计划 vs 稳健计划,https://sive.rs/robust,Articles,实操,
2013/6/8,Wood Egg (my new company),Wood Egg （我的新公司）,https://sive.rs/eg,Articles,,
2013/6/3,Some will always say you’re wrong,总有人会说你错了,https://sive.rs/wrong,Hell Yeah or No,,
2013/5/20,No rules in this game,这个游戏没有规则,https://sive.rs/360,Articles,,
2013/4/14,Seeking inspiration?,寻找灵感？,https://sive.rs/io,Hell Yeah or No,,
2013/4/6,The Great Movies,伟大的电影,https://sive.rs/ebert2,Articles,人物,
2013/3/21,Human Intervention as a Competitive Advantage,人工服务就是竞争优势,https://sive.rs/hi,Articles,,
2013/2/11,It’s all who you know?,取决于你认识谁？,https://sive.rs/xn,Articles,故事,
2013/1/27,"Focus, entertain, or both?",专注、娱乐，还是两者兼顾？,https://sive.rs/boring,Articles,,
2013/1/6,Memorizing a programming language using spaced repetition software,使用间隔重复软件（Anki）学习编程语言,https://sive.rs/srs,Tech blog,实操,
2012/12/9,Everything is my fault,一切都是我的错,https://sive.rs/my-fault,Hell Yeah or No,,
2012/12/2,You don’t have to be local,你不必是本地人,https://sive.rs/local,Hell Yeah or No,,
2012/8/13,"Push, push, push. Expanding your comfort zone.",推，推，推。扩大你的舒适区。,https://sive.rs/comfort,Articles,,https://readit.site/a/lA7e4
2012/5/16,Smart people don’t think others are stupid,聪明人不会觉得别人蠢,https://sive.rs/ss,Hell Yeah or No,反常,
2012/4/24,Advice on moving to Los Angeles,搬到洛杉矶的建议,https://sive.rs/la,Articles,,
2011/12/20,Friends from memory,凭记忆写下你所有朋友,https://sive.rs/friends,Articles,实操,
2011/11/20,The co-op business model: share whatever you’ve got,从分享你所拥有的一切开始,https://sive.rs/sharing,Anything You Want,实操,https://readit.site/a/VJOTR
2011/11/15,232 sand dollars,232 个沙钱,https://sive.rs/232,Hell Yeah or No,故事,
2011/10/24,Procrastination hack: change “and” to “or”,应对拖延症：把「和」改成「或」,https://sive.rs/andor,Hell Yeah or No,,
2011/7/2,What’s your compass?,你的指南针是什么？,https://sive.rs/ayw2,Anything You Want,,https://readit.site/a/jNb2t
2011/7/3,Just selling my CD,只是卖我的 CD,https://sive.rs/ayw3,Anything You Want,,
2011/7/4,Make a dream come true,梦想成真,https://sive.rs/ayw4,Anything You Want,,
2011/7/5,A business model with only two numbers,只有两个数字的商业模式,https://sive.rs/ayw5,Anything You Want,实操,https://readit.site/a/qvRDF
2011/7/6,This ain’t no revolution,这不是革命,https://sive.rs/ayw6,Anything You Want,,
2011/7/7,"If it’s not a hit, switch",如果不受欢迎，就换,https://sive.rs/hitswitch,Anything You Want,,
2009/8/26,No yes. Either HELL YEAH! or no.,要么说太棒了，要么说不,https://sive.rs/hellyeah,Anything You Want,,
2011/7/8,"Just like that, my plan completely changed",就这样，我的计划全变了,https://sive.rs/changeplan,Anything You Want,,
2011/7/16,Like you don’t need the money,就像你不需要钱一样,https://sive.rs/dontneed,Anything You Want,,
2011/7/9,The advantage of no funding,没钱的优势,https://sive.rs/nofund,Anything You Want,,
2011/7/10,Start now. No funding needed.,现在就开始。不需要资金。,https://sive.rs/startnow,Anything You Want,,
2005/8/16,Ideas are just a multiplier of execution,想法是执行的乘数,https://sive.rs/multiply,Anything You Want,,
2011/7/11,Formalities play on fear. Bravely refuse.,别被吓到，勇敢拒绝。,https://sive.rs/formalities,Anything You Want,,
2008/3/11,The strength of many little customers,长尾的力量,https://sive.rs/blc,Anything You Want,,
2011/7/12,Proudly exclude people,自豪地排除 99% 的东西,https://sive.rs/exclude2,Anything You Want,反常,
2011/7/13,Why no advertising?,为什么不做广告？,https://sive.rs/noads,Anything You Want,,
2008/10/23,This is just one of many options,这只是众多选项之一,https://sive.rs/more-than-one,Anything You Want,,
2011/7/14,You don’t need a plan or a vision,你不需要计划或愿景,https://sive.rs/noplan,Anything You Want,,
2009/7/16,I miss the mob,「我怀念黑帮」,https://sive.rs/the-mob,Anything You Want,故事,
2009/10/9,How do you grade yourself?,你怎么给自己打分？,https://sive.rs/grade,Anything You Want,,
2011/7/15,Care about your customers more than about yourself,关心客户胜过关心自己,https://sive.rs/caremore,Anything You Want,,
2014/7/2,Every interaction is your moment to shine,把每位来电的顾客当成明星,https://sive.rs/cs2,Anything You Want,比喻,
2010/1/30,Don’t punish everyone for one person’s mistake,不要因为一个人的错误惩罚所有人,https://sive.rs/punish,Anything You Want,反常,https://readit.site/a/VGvCq
2010/3/31,"A real person, a lot like you",电脑前是真实的人,https://sive.rs/real,Anything You Want,反常,
2011/6/29,Anything You Want (my first book),Anything You Want （我的第一本书）,https://sive.rs/ayw,Articles,,
2011/6/23,Projecting meaning,投射意义,https://sive.rs/meaning,Hell Yeah or No,,
2011/6/19,Fish don’t know they’re in water,鱼不知道自己在水中,https://sive.rs/fish,Hell Yeah or No,,
2011/6/8,Don’t be a donkey,不要做布里丹之驴,https://sive.rs/donkey,Hell Yeah or No,,
2011/6/4,I moved to Singapore,我搬到了新加坡,https://sive.rs/singapore,Articles,,
2011/6/4,Any questions?,请向我提问。,https://sive.rs/aq,Articles,,
2011/3/23,There’s no place like home,我在哪里，哪里就是家。,https://sive.rs/homeless,Articles,,
2009/10/12,You should feel pain when unclear,说不清楚就罚款 5000 美元,https://sive.rs/unclear,Anything You Want,,
2010/11/21,Obvious to you. Amazing to others.,你觉得平常的东西，可能令他人惊叹。,https://sive.rs/obvious,Hell Yeah or No,,
2010/11/18,Why wreck a blank canvas?,挂五幅空白画布,https://sive.rs/blank,Articles,故事,
2011/7/17,The most successful email I ever wrote,我写过最成功的电子邮件,https://sive.rs/cdbe,Anything You Want,实操,
2010/8/7,KarmaList wishlist?,愿望清单。,https://sive.rs/kl,Articles,,
2010/7/21,"Valuable to others, or only you?",对他人有价值，还是只对你自己有价值？,https://sive.rs/starv,Your Music and People,,
2010/7/7,Quit quirks when working with others,与他人合作时戒除怪癖,https://sive.rs/quirks,Articles,,
2010/7/3,My loss,我失去了什么,https://sive.rs/loss,Articles,,
2010/7/1,I assume I’m below average,假设我低于平均水平,https://sive.rs/below-average,Hell Yeah or No,反常,
2010/6/29,How to get hired,如何被雇用,https://sive.rs/gethired,Articles,实操,https://readit.site/a/zbIH5
2010/6/19,How to hire a programmer to make your ideas happen,如何雇用程序员来实现你的想法,https://sive.rs/how2hire,Articles,实操,
2010/6/15,After fifteen years of practice,十五年的练习,https://sive.rs/15-years,Hell Yeah or No,,
2010/5/25,How I became Ryuichi Sakamoto’s guitarist,我如何成为坂本龙一的吉他手,https://sive.rs/sakamoto,Articles,实操,https://readit.site/a/PfAGy
2011/7/18,Little things make all the difference,魔鬼在细节里,https://sive.rs/cdbf,Anything You Want,故事,
2010/5/7,Thursday = Thor’s day,星期四=雷神日,https://sive.rs/thor,Articles,,
2011/7/19,It’s OK to be casual,随意一点没关系,https://sive.rs/casual,Anything You Want,,
2010/3/29,Flip it in your favor.,化危为机,https://sive.rs/flipstick,Your Music and People,,
2010/2/14,First Follower idea is all yours,「第一个追随者」的想法是你的了,https://sive.rs/ff2,Articles,,
2010/2/11,First Follower: Leadership Lessons from a Dancing Guy,第一个跟随者：从一个跳舞的人身上学到的领导力课程,https://sive.rs/ff,Articles,,
2010/5/24,Na?ve quitting,天真的辞职,https://sive.rs/nq,Anything You Want,反常,
2010/1/27,There are always more than two options,总有两个以上的选择,https://sive.rs/options,Hell Yeah or No,反常,
2010/1/26,Big catalog = infinite specialty shops,1000 家专卖店,https://sive.rs/prism,Articles,,
2009/12/18,Papa Bill: I don’t need to worry about you.,爷爷：我不需要担心你。,https://sive.rs/papabill,Articles,故事,
2009/12/9,Put buskers online,把街头艺人放上网,https://sive.rs/busk,Articles,,
2009/12/8,"""Online"" marketing = ""Color"" TV",过时的营销,https://sive.rs/tv,Articles,,
2011/7/20,Prepare to double,预留双倍,https://sive.rs/double,Anything You Want,,
2009/12/1,There’s no speed limit,不受常规限制,https://sive.rs/kimo,Hell Yeah or No,反常,
2009/11/27,Shine a spotlight on one idea at a time.,一次说一件事。,https://sive.rs/1idea,Articles,反常,
2009/11/25,The challenge: Don’t speak in future tense.,挑战：别说你「想」怎么样。,https://sive.rs/futuretense,Articles,,
2011/7/21,"It’s about being, not having",拥有某样东西只是手段，而不是目的,https://sive.rs/being,Anything You Want,,
2009/11/23,Let pedestrians define the walkways,让行人定义人行道,https://sive.rs/walkways,Hell Yeah or No,反常,
2009/11/22,Fela Kuti,费拉·库蒂,https://sive.rs/fela-kuti,Articles,故事,
2009/11/21,Confidence required,做出成绩,https://sive.rs/confidence,Articles,,
2009/10/16,If you think you haven’t found your passion…,如果你还没找到激情所在……,https://sive.rs/passion,Hell Yeah or No,,
2009/10/15,Doesn’t feel like work (or I’ve forgotten),感觉不像在工作,https://sive.rs/notwork,Articles,,
2009/10/14,"Learning the lesson, not the example.",举一反三,https://sive.rs/metaphor,Hell Yeah or No,,
2010/11/11,The day Steve Jobs dissed me in a keynote,史蒂夫·乔布斯在演讲中羞辱了我,https://sive.rs/itunes,Anything You Want,故事,
